Carimbo de data/hora,Com que frequência você vai ao espaço recreativo?,"Sobre o atendimento, o que achou da equipe?","Se pudesse adicionar algo ao parque, o que seria?",Você sente que a criança fica confortável no parque?,"O que achou da organização do parque? (limpeza, etc)",Você (como cliente) recomendaria o parquinho para conhecidos?
06/10/2025 12:05:13,Frequentemente,Bom,Mais opções de oficinas,Sim,Organizado,Sim
06/10/2025 12:05:26,Seu filho ja virou um chikinho,Bom,Mais opções de brinquedos,Um pouco,Mediano,Sim
06/10/2025 12:06:34,As vezes,Bom,Mais opções de brinquedos,Sim,Desorganizado,Sim
06/10/2025 12:07:06,Poucas vezes,Ruim,Mais opções de oficinas,Um pouco,Desorganizado,Sim
06/10/2025 12:07:58,As vezes,Ruim,Mais opções de oficinas,Não,Desorganizado,Não
06/10/2025 12:08:16,Seu filho ja virou um chikinho,Bom,Mais opções de brinquedos,Sim,Organizado,Sim
06/10/2025 12:08:46,As vezes,Mediano,Mais opções de oficinas,Um pouco,Mediano,Sim
06/10/2025 12:09:07,Poucas vezes,Ruim,Mais opções de brinquedos,Não,Desorganizado,Não
06/10/2025 12:09:13,Poucas vezes,Ruim,Mais opções de oficinas,Um pouco,Organizado,Não
06/10/2025 12:09:29,Frequentemente,Bom,Mais opções de oficinas,Sim,Organizado,Sim
06/10/2025 12:09:29,Frequentemente,Mediano,Mais opções de oficinas,Um pouco,Mediano,Sim
06/10/2025 12:09:45,Frequentemente,Bom,Mais opções de brinquedos,Sim,Organizado,Sim
06/10/2025 12:09:45,Poucas vezes,Mediano,Mais opções de oficinas,Sim,Desorganizado,Não
06/10/2025 12:10:03,Poucas vezes,Ruim,Mais opções de oficinas,Não,Desorganizado,Não
06/10/2025 12:10:06,Seu filho ja virou um chikinho,Bom,Mais opções de oficinas,Sim,Mediano,Sim
